MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/100',UTM X,UTM Y
0.000,0.000,0.000,0.000,1352.093,0.000,0.000,0.000,0.000,744436.760,9287317.159,
55.000,0.230,228.248,55.000,1297.093,-0.074,-0.082,0.036,0.125,744436.678,9287317.085,
60.000,0.200,232.608,60.000,1292.093,-0.085,-0.097,0.042,0.205,744436.663,9287317.073,
65.000,0.180,236.748,65.000,1287.093,-0.095,-0.110,0.049,0.145,744436.650,9287317.064,
70.000,0.160,239.858,70.000,1282.093,-0.103,-0.123,0.057,0.132,744436.637,9287317.056,
75.000,0.200,234.868,75.000,1277.093,-0.111,-0.136,0.064,0.258,744436.624,9287317.047,
80.000,0.210,231.198,80.000,1272.093,-0.122,-0.150,0.071,0.099,744436.610,9287317.037,
85.000,0.180,236.308,85.000,1267.093,-0.132,-0.164,0.078,0.208,744436.596,9287317.027,
90.000,0.190,234.758,90.000,1262.093,-0.141,-0.177,0.085,0.067,744436.583,9287317.017,
95.000,0.170,237.878,95.000,1257.093,-0.150,-0.190,0.092,0.134,744436.570,9287317.009,
100.000,0.180,237.568,100.000,1252.093,-0.158,-0.203,0.100,0.060,744436.557,9287317.001,
105.000,0.200,233.858,105.000,1247.093,-0.168,-0.217,0.107,0.141,744436.543,9287316.991,
110.000,0.150,243.428,110.000,1242.093,-0.176,-0.230,0.114,0.346,744436.530,9287316.983,
115.000,0.130,245.808,115.000,1237.093,-0.181,-0.241,0.121,0.125,744436.519,9287316.978,
120.000,0.120,249.648,120.000,1232.093,-0.185,-0.251,0.128,0.078,744436.509,9287316.974,
125.000,0.130,247.488,125.000,1227.093,-0.189,-0.261,0.135,0.066,744436.499,9287316.970,
130.000,0.110,253.278,130.000,1222.093,-0.193,-0.271,0.142,0.140,744436.489,9287316.966,
135.000,0.130,246.028,134.999,1217.093,-0.196,-0.281,0.148,0.150,744436.479,9287316.962,
140.000,0.110,251.998,139.999,1212.093,-0.200,-0.290,0.155,0.141,744436.470,9287316.959,
145.000,0.080,261.858,144.999,1207.093,-0.202,-0.299,0.161,0.204,744436.462,9287316.957,
150.000,0.100,259.428,149.999,1202.093,-0.203,-0.306,0.167,0.122,744436.454,9287316.955,
155.000,0.080,262.008,154.999,1197.093,-0.205,-0.314,0.173,0.122,744436.446,9287316.954,
160.000,0.100,264.778,159.999,1192.093,-0.206,-0.322,0.180,0.123,744436.438,9287316.953,
165.000,0.090,270.708,164.999,1187.093,-0.206,-0.330,0.187,0.084,744436.430,9287316.953,
