Survey Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Date:,,,31-Jan-20,,,,,,Survey Calc Method:,,,Minimum Curvature                 ,,,
Client:,,,Oil Search Ltd,,,,,,DLS:,,,LUBINSKI,,,
Field:,,,Gobe, South East Gobe,,,,,,Vertical Section Azimuth:,,,199.43,,
Site:,,,Gobe X,,,,,,Vertical Section Origin:,,,0.00  N  m 0.00  E  m ,,,
Well:,,,Gobe Footwall 1,,,,,,TVD Reference Datum:,,,RT                                ,,,
Wellbore:,,,Gobe Footwall 1 ST1,,,,,,TVD Reference Elevation:,,,1286.37 m Above Mean Sea Level ,,,
Name:,,,Gobe Footwall 1 ST1,,,,,,Seabed/Ground Level Elevation:,,,1278.77 m Below Mean Sea Level ,,,
UWI/API number:,,, ,,,,,,Magnetic Declination (+E/W-):,,,4.64,,,
Geodetic system:,,,Universal Transverse Mercator,,,,,,Magnetic Field Strength:,,,41585.07,,,
Geodetic datum:,,,Australian Geodetic 1966,,,,,,Magnetic Dip:,,,-28.87,,,
Geodetic Zone:,,,Zone 54S (138 E to 144 E),,,,,,Declination Date:,,,13-Dec-19,,,
LAT/LONG:,,,6° 45' 32.115 S 143° 41' 45.835 E ,,,,,,Magnetic Model:,,,BGGM2019,,,
Northings/Eastings:,,, 9252073.14 N   798042.13 E ,,,,,,North Reference:,,,Grid,,,
Grid convergence (+E/W-).:,,,-0.32,,,,,,Total Corr. Mag North to Grid North:,,,4.96,,,
,,,,,,,,,Local Co-ords referenced to:,,,Well,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,Inc,Azi,TVD,TVDSS,V.Sec,+N/S-,+E/W-,DLS,BUILD,TURN,NORTHING,EASTING,LATITUDE,LONGITUDE,Comments
(m),(deg),(deg),   m    ,   m    ,   m    ,   m    ,   m    ,dega/30m,dega/30m,dega/30m,m,m,DD:MM:SS,DD:MM:SS,
,,,,,,,,,,,,,,,
0,0,0,0,-1286.37,0,0,0,0,0,0,9252073.14,798042.13,  6° 45' 32.12 S,143° 41' 45.83 E,    
53.62,0.37,208.56,53.62,-1232.75,0.17,-0.15,-0.08,0.21,0.21,0,9252072.99,798042.05,  6° 45' 32.12 S,143° 41' 45.83 E,    
67.42,0.51,223.6,67.42,-1218.95,0.27,-0.24,-0.15,0.39,0.3,32.7,9252072.9,798041.98,  6° 45' 32.12 S,143° 41' 45.83 E,    
94.38,0.68,224.02,94.38,-1191.99,0.53,-0.44,-0.34,0.19,0.19,0.47,9252072.7,798041.79,  6° 45' 32.13 S,143° 41' 45.82 E,    
139.19,0.61,232.63,139.18,-1147.19,0.97,-0.77,-0.71,0.08,-0.05,5.76,9252072.37,798041.42,  6° 45' 32.14 S,143° 41' 45.81 E,    
