X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
741401.72,9288053.87,1104.540039,0,0,0,359.7552214,-0.000000001,-0.000000004,,,0,,0
741401.6816,9288053.916,1074.540161,30,0.230000004,320.3199987,320.0752201,-0.038446393,0.046341818,,,29.99987793,,0.230000004
741401.5853,9288053.98,1044.540405,60,0.230000004,286.3100007,286.065222,-0.134683265,0.109593703,,,59.99963379,,0.134529036
741401.4372,9288053.97,1014.540833,90,0.360000008,253.5000122,253.2552335,-0.282839764,0.099736121,,,89.99920654,,0.208128828
741401.2452,9288053.901,984.5415039,120,0.419999991,247.5399891,247.2952105,-0.474820086,0.030961542,,,119.9985352,,0.07235033
741400.9993,9288053.804,954.5427246,150,0.589999958,249.0500073,248.8052287,-0.720682443,-0.066272661,,,149.9973145,,0.170505396
741400.6804,9288053.671,924.5447388,180,0.73,246.099994,245.8552154,-1.03965211,-0.198925838,,,179.9953003,,0.144019015
741400.3533,9288053.507,894.5469971,210,0.670000043,240.2499916,240.005213,-1.366657137,-0.363388956,,,209.993042,,0.093242018
741400.0188,9288053.334,864.5493774,240,0.769999989,244.7099959,244.4652172,-1.701200127,-0.536540866,,,239.9906616,,0.114561167
741399.6355,9288053.152,834.5523682,270,0.85000002,244.6000025,244.3552239,-2.084470987,-0.718102813,,,269.9876709,,0.080015105
741399.2084,9288053.012,804.5557861,300,0.879999972,258.9500114,258.7052327,-2.511585713,-0.857704818,,,299.9842529,,0.218110158
741398.7678,9288052.877,774.5593262,330,0.890000009,247.0099938,246.7652151,-2.952175379,-0.992859483,,,329.9807129,,0.184355169
741398.369,9288052.676,744.5627441,360,0.820000015,239.1700021,238.9252235,-3.350995302,-1.193875194,,,359.9772949,,0.13616924
741398.0455,9288052.464,714.5652466,390,0.660000006,233.6500071,233.4052285,-3.674491168,-1.40630281,,,389.9747925,,0.174983292
741397.7823,9288052.249,684.5671387,420,0.639999984,227.7700066,227.5252279,-3.937714578,-1.621325016,,,419.9729004,,0.069603234
