X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
744930.9,9286185.17,1014.070007,0,0,0,359.750989,1.2E-09,-0.000000006,,,0,,0
744930.8819,9286185.206,998.8300781,15.23999977,0.300000024,332.999999,332.7509881,-0.018113372,0.035549492,,,15.2399292,,0.590551238
744930.81,9286185.28,983.5904541,30.47999954,0.499999996,305.999988,305.7509771,-0.090023399,0.110184534,,,30.47955322,,0.530757694
744930.6514,9286185.338,968.3514404,45.72000122,0.799999994,279.9999987,279.7509877,-0.248596141,0.16774502,,,45.7185669,,0.81392707
744930.4067,9286185.314,953.1134644,60.95999908,1.100000045,252.9999877,252.7509767,-0.493265911,0.143450135,,,60.95654297,,1.045000447
744930.1329,9286185.141,937.8769531,76.19999695,1.399999989,226.000004,225.750993,-0.767083229,-0.02864792,,,76.1930542,,1.284288498
744929.8958,9286184.826,922.6420898,91.44000244,1.599999988,209.0000047,208.7509937,-1.004155992,-0.344063312,,,91.42791748,,0.955710095
744929.672,9286184.403,907.409668,106.6800003,1.999999985,207.0000024,206.7509914,-1.228037953,-0.767100692,,,106.6603394,,0.796934161
744929.475,9286183.967,892.1772461,121.9199982,1.599999988,200.9999954,200.7509844,-1.425017834,-1.202683091,,,121.8927612,,0.869376217
744929.3273,9286183.583,876.9428101,137.1600037,1.500000042,200.9999954,200.7509844,-1.572748303,-1.587534189,,,137.1271973,,0.196850216
744929.186,9286183.224,861.7077026,152.3999939,1.399999989,202.0000033,201.7509924,-1.713972922,-1.946370482,,,152.3623047,,0.203047897
744929.0384,9286182.867,846.4725342,167.6399994,1.500000042,202.9999977,202.7509867,-1.861653213,-2.302598953,,,167.5974731,,0.203047527
744928.8793,9286182.502,831.237793,182.8800049,1.500000042,204.0000057,203.7509947,-2.020722865,-2.668434143,,,182.8322144,,0.051529167
744928.6994,9286182.087,816.0045166,198.1199951,1.900000039,202.9999977,202.7509867,-2.200569867,-3.083217621,,,198.0654907,,0.789534768
744928.5196,9286181.672,800.7712402,213.3600006,1.500000042,204.0000057,203.7509947,-2.380417111,-3.498001575,,,213.2987671,,0.789533978
744928.3539,9286181.324,785.5361328,228.6000061,1.399999989,207.0000024,206.7509914,-2.546069143,-3.846106529,,,228.5338745,,0.247082252
744928.1945,9286181.017,770.3001099,243.8399963,1.200000097,207.9999967,207.7509857,-2.705508709,-4.152889729,,,243.7698975,,0.396210797
744928.0109,9286180.709,755.0643311,259.0799866,1.500000042,212.9999957,212.7509847,-2.889066218,-4.461080551,,,259.0056763,,0.633897036
744927.8007,9286180.402,739.8289185,274.3200073,1.299999937,216.000006,215.750995,-3.099319697,-4.768229961,,,274.2410889,,0.41917447
744927.5975,9286180.122,724.5928955,289.5599976,1.299999937,216.000006,215.750995,-3.302549128,-5.047951221,,,289.4771118,,0
744927.3889,9286179.882,709.3562012,304.7999878,1.100000045,226.9999984,226.7509874,-3.511150122,-5.287578106,,,304.7138062,,0.598822321
744927.2018,9286179.694,694.1185303,320.0400085,0.89999994,221.9999994,221.7509884,-3.698224067,-5.47629118,,,319.9514771,,0.429177431
744927.0385,9286179.519,678.8804321,335.2799988,0.89999994,224.0000017,223.7509907,-3.86145544,-5.651335716,,,335.1895752,,0.061836801
744926.8975,9286179.343,663.6420898,350.519989,0.799999994,212.9999957,212.7509847,-4.002543925,-5.82666111,,,350.4279175,,0.375850257
744926.7902,9286179.175,648.4034424,365.7600098,0.699999995,212.0000014,211.7509904,-4.109821321,-5.994836807,,,365.6665649,,0.19852186
