X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
744436.59,9287315.92,1367.290039,0,0,0,359.751888,-0.000000011,0,,,0,,0
744436.5076,9287315.847,1312.290283,55,0.230000004,228.2500049,228.001893,-0.082358595,-0.073507866,,,54.99975586,,0.125454547
744436.4932,9287315.835,1307.290283,60,0.199999999,232.6099879,232.3618759,-0.096779221,-0.085489532,,,59.99975586,,0.204901416
744436.4797,9287315.825,1302.290283,65,0.180000004,236.7500114,236.5018994,-0.110280875,-0.09509494,,,64.99975586,,0.145476953
744436.4671,9287315.817,1297.290283,70,0.159999996,239.8599878,239.6118758,-0.122886476,-0.102906635,,,69.99975586,,0.132113284
744436.4539,9287315.809,1292.290405,75,0.199999999,234.8699882,234.6218762,-0.136060984,-0.111433646,,,74.99963379,,0.257550733
744436.4397,9287315.798,1287.290405,80,0.209999996,231.199991,230.951879,-0.150339076,-0.122196784,,,79.99963379,,0.099001859
744436.426,9287315.788,1282.290405,85,0.180000004,236.3100106,236.0618987,-0.164015021,-0.132294904,,,84.99963379,,0.207886814
744436.4127,9287315.779,1277.290405,90,0.190000001,234.7599948,234.5118829,-0.177320953,-0.141435023,,,89.99963379,,0.067089521
744436.3996,9287315.77,1272.290527,95,0.170000007,237.8799979,237.6318859,-0.190374252,-0.15016247,,,94.99951172,,0.133593223
744436.3867,9287315.762,1267.290527,100,0.180000004,237.5700166,237.3219046,-0.203285642,-0.158318218,,,99.99951172,,0.060268084
744436.373,9287315.752,1262.290527,105,0.199999999,233.8599945,233.6118825,-0.216962199,-0.167676669,,,104.9995117,,0.14082609
744436.3601,9287315.744,1257.290527,110,0.150000012,243.4299911,243.1818791,-0.229863384,-0.175750803,,,109.9995117,,0.346496871
744436.3491,9287315.739,1252.290527,115,0.129999991,245.8099842,245.5618722,-0.240891379,-0.181002628,,,114.9995117,,0.124944509
744436.339,9287315.735,1247.290527,120,0.119999994,249.6499985,249.4018865,-0.250974797,-0.185147773,,,119.9995117,,0.078240939
744436.3289,9287315.731,1242.290649,125,0.129999991,247.4899921,247.2418801,-0.261124128,-0.189140227,,,124.9993897,,0.066317914
744436.319,9287315.727,1237.290649,130,0.109999997,253.2799981,253.0318861,-0.270961009,-0.192692678,,,129.9993897,,0.140187991
744436.3093,9287315.724,1232.290649,135,0.129999991,246.0299982,245.7818862,-0.280740884,-0.196377942,,,134.9993897,,0.150438303
744436.2995,9287315.72,1227.290649,140,0.109999997,251.9999934,251.7518814,-0.290488741,-0.200165534,,,139.9993897,,0.141364848
744436.2915,9287315.718,1222.290649,145,0.079999998,261.8599725,261.6118605,-0.298508967,-0.202142963,,,144.9993897,,0.204349653
