MD,Inc,Az,TVD,DL,DL_Sev
68.5,0.42,193.41,68.5,0,0
96.35,0.17,314.49,96.35,0.528,0.569
126.24,0.12,173.59,126.24,0.274,0.275
154.03,0.76,229.76,154.029,0.7,0.756
181.58,0.64,265.76,181.576,0.447,0.487
210.27,2.51,214.89,210.254,2.164,2.263
238.78,4.39,214.13,238.711,1.881,1.979
267.41,5.42,202.12,267.236,1.449,1.518
295.92,5.91,200.72,295.607,0.509,0.536
324.83,6.43,205.61,324.349,0.739,0.767
353.47,7.15,202.13,352.788,0.829,0.868
381.92,9.27,204.36,380.945,2.143,2.26
411.12,10.8,207.85,409.697,1.646,1.691
437.06,7.29,191.89,435.311,4.283,4.953
467.89,7.04,195.79,465.9,0.547,0.532
497.17,7.08,195.94,494.958,0.044,0.045
526.43,7.26,197.81,523.989,0.295,0.302
555.72,7.49,196.66,553.037,0.273,0.28
584.99,7.47,198.31,582.058,0.216,0.221
614.44,7.64,197.15,611.252,0.228,0.233
639.4,7.64,198.24,635.991,0.145,0.174
668.68,7.79,198.03,665.006,0.153,0.156
698.13,8.09,198.95,694.173,0.326,0.332
727.37,8.28,201.13,723.115,0.364,0.373
756.64,8.4,204.82,752.076,0.548,0.562
783.45,8.32,208.87,778.601,0.594,0.665
813.13,8.67,210.39,807.955,0.416,0.42
848.4,8.65,210.62,842.823,0.04,0.034
877.56,9.09,210.46,871.634,0.441,0.453
906.91,9.58,211.5,900.596,0.518,0.53
936.07,9.72,212.14,929.343,0.176,0.181
961.57,9.91,211.88,954.47,0.195,0.23
989.17,9.91,211.32,981.658,0.096,0.105
1018.48,10.17,213.54,1010.519,0.466,0.477
1048.06,10.51,213.9,1039.619,0.346,0.351
1077.32,10.88,212.93,1068.37,0.411,0.422
1106.63,11.12,215.05,1097.142,0.47,0.481
1135.84,11.36,215.59,1125.792,0.262,0.269
1205.48,11.83,218.31,1194.01,0.721,0.311
1234.12,13.11,214.66,1221.974,1.503,1.574
1262.83,13.99,212.28,1249.885,1.042,1.088
1291.87,15.52,206.44,1277.966,2.132,2.203
1320.29,16.21,205.48,1305.303,0.738,0.779
1348.85,16.81,205.05,1332.686,0.612,0.643
1377.5,17.59,205.41,1360.054,0.787,0.824
1406.41,17.45,202.59,1387.623,0.86,0.893
1435.32,17.8,201.22,1415.176,0.543,0.563
1463.81,16.72,201.35,1442.383,1.081,1.138
1492.36,17.12,201.26,1469.697,0.401,0.421
1520.55,17.77,201.14,1496.59,0.651,0.693
1549.28,18.52,200.5,1523.891,0.776,0.81
1578.33,18.31,201.71,1551.454,0.436,0.45
1607,18.47,201.92,1578.659,0.173,0.181
1635.13,18.26,201.26,1605.357,0.296,0.315
1662.83,17.51,201.12,1631.718,0.751,0.814
1692.53,17.51,201.42,1660.042,0.09,0.091
1721.47,17.11,202.53,1687.671,0.519,0.538
1749.93,16.68,202.92,1714.903,0.445,0.469
1778.79,15.81,202.73,1742.61,0.872,0.906
1806.57,15.67,202.45,1769.348,0.159,0.172
1836.05,15.54,201.56,1797.742,0.272,0.277
1864.14,16.01,200.68,1824.774,0.527,0.563
1893.58,15.67,201.24,1853.096,0.373,0.38
1922.22,15.88,201.71,1880.657,0.246,0.257
1950.62,15.97,203.19,1907.967,0.416,0.439
2006.72,14.51,205.59,1962.093,1.59,0.85
2036.46,12.91,206.94,1990.984,1.632,1.646
2064.89,13.65,205.98,2018.654,0.772,0.815
2093.55,14.16,205.5,2046.474,0.523,0.547
2122.52,14.76,204.15,2074.526,0.688,0.713
2151.11,15.41,204.46,2102.131,0.655,0.687
2160.28,15.55,204.93,2110.968,0.188,0.615
2190.28,15.15,205.06,2139.898,0.401,0.401
2220.28,14.56,204.47,2168.895,0.609,0.609
2250.28,13.84,204.54,2197.978,0.72,0.72
2280.28,13.19,204.14,2227.147,0.657,0.657
2310.28,12.69,203.67,2256.385,0.511,0.511
2340.28,12.24,202.44,2285.678,0.522,0.522
2344.28,12.16,202.48,2289.588,0.08,0.603
2430.14,11.51,200.91,2373.622,0.725,0.253
2435.02,11.05,202,2378.408,0.507,3.117
2450.55,8.63,216.29,2393.708,3.421,6.608
2484.35,7.68,235.99,2427.166,2.934,2.604
2513.03,5.52,229.01,2455.654,2.3,2.406
2541.34,4.36,261.79,2483.859,2.999,3.178
2570.42,3.9,309.69,2512.863,3.377,3.484
2599.26,3.98,349.68,2541.635,2.694,2.802
2628.01,4.34,16.05,2570.309,1.928,2.012
2656.64,5.54,31.4,2598.832,1.775,1.86
2685.1,6.94,44.3,2627.123,1.973,2.08
2713.93,10.32,40.76,2655.623,3.42,3.559
2742.67,12.61,37.64,2683.787,2.372,2.476
2771.47,14.45,35.12,2711.787,1.932,2.012
2800.22,16.41,38.2,2739.499,2.124,2.216
2828.97,19.23,44.39,2766.867,3.394,3.541
2857.67,22.96,46.41,2793.639,3.8,3.972
2886.26,26.49,43.98,2819.604,3.673,3.854
2915.03,30.19,40.3,2844.921,4.09,4.265
2943.59,33.85,38.94,2869.132,3.73,3.918
2972.52,36.69,39.82,2892.749,2.885,2.992
3000.68,39.53,40.29,2914.904,2.855,3.041
3029.39,41.71,38.35,2936.695,2.519,2.632
3057.98,44.87,36.64,2957.503,3.37,3.537
3086.56,48.59,36.95,2977.089,3.727,3.912
3115.11,52.1,37.79,2995.306,3.569,3.75
3143.41,55.08,38.47,3012.102,3.03,3.212
3172.34,58.57,38.42,3027.93,3.49,3.619
3200.45,62.04,36.99,3041.853,3.686,3.933
3229.33,64.05,35.42,3054.943,2.449,2.544
3257.81,67.58,35.15,3066.609,3.539,3.727
3286.59,69.83,34.98,3077.06,2.256,2.351
3315.39,72.82,35.28,3086.281,3.003,3.129
3339.2,75.84,34.84,3092.711,3.05,3.842
3368.26,79.33,34.91,3098.958,3.491,3.604
3396.84,81.13,35.25,3103.808,1.831,1.922
3425.03,82.07,35.55,3107.926,0.986,1.049
3453.54,81.57,35.35,3111.982,0.538,0.566
3482.03,82.5,35.03,3115.93,0.983,1.035
3510.73,83.82,35.05,3119.348,1.32,1.38
3520.52,84.62,35.13,3120.334,0.804,2.464
